period,od_index,flow,route,n_attractive_lines,own_headway_min,combined_headway_min,wait_now_min,wait_hyperpath_min,saving_min,flow_weighted_saving
am_peak,418,0.15458222023777993,034,2,15.0,12.0,6.75,6.0,1.5,0.2318733303566699
am_peak,419,0.10305481349185328,002,2,30.0,15.0,10.5,6.75,7.5,0.7729111011888996
am_peak,422,0.10305481349185328,002,2,30.0,15.0,10.5,6.75,7.5,0.7729111011888996
am_peak,423,0.10305481349185328,002,2,30.0,15.0,10.5,6.75,7.5,0.7729111011888996
am_peak,424,0.15458222023777993,002,2,30.0,15.0,10.5,6.75,7.5,1.1593666517833494
am_peak,425,0.10305481349185328,002,2,30.0,15.0,10.5,6.75,7.5,0.7729111011888996
am_peak,426,2.473315523804479,002,2,30.0,15.0,10.5,6.75,7.5,18.54986642853359
am_peak,427,0.15458222023777993,002,2,30.0,15.0,10.5,6.75,7.5,1.1593666517833494
am_peak,427,0.15458222023777993,008,2,30.0,15.0,10.5,6.75,7.5,1.1593666517833494
am_peak,428,0.10305481349185328,002,2,30.0,15.0,10.5,6.75,7.5,0.7729111011888996
am_peak,429,0.20610962698370655,002,2,30.0,15.0,10.5,6.75,7.5,1.5458222023777992
am_peak,430,0.10305481349185328,002,2,30.0,15.0,10.5,6.75,7.5,0.7729111011888996
am_peak,431,0.3606918472214865,002,2,30.0,15.0,10.5,6.75,7.5,2.7051888541611486
am_peak,431,0.3606918472214865,007,6,30.0,4.285714285714286,10.5,2.142857142857143,16.714285714285715,6.028706589273417
am_peak,432,1.3397125753940926,002,2,30.0,15.0,10.5,6.75,7.5,10.047844315455695
am_peak,433,0.2576370337296332,002,2,30.0,15.0,10.5,6.75,7.5,1.932277752972249
am_peak,434,0.15458222023777993,002,2,30.0,15.0,10.5,6.75,7.5,1.1593666517833494
am_peak,435,1.0305481349185328,002,2,30.0,15.0,10.5,6.75,7.5,7.729111011888996
am_peak,436,0.15458222023777993,002,2,30.0,15.0,10.5,6.75,7.5,1.1593666517833494
am_peak,437,0.10305481349185328,002,2,30.0,15.0,10.5,6.75,7.5,0.7729111011888996
am_peak,438,0.20610962698370655,002,2,30.0,15.0,10.5,6.75,7.5,1.5458222023777992
am_peak,438,0.20610962698370655,010,4,26.742857142857144,4.8,9.685714285714287,2.4,14.571428571428573,3.0033117074768674
am_peak,439,0.15458222023777993,002,2,30.0,15.0,10.5,6.75,7.5,1.1593666517833494
am_peak,442,0.15458222023777993,002,2,30.0,15.0,10.5,6.75,7.5,1.1593666517833494
am_peak,448,0.10305481349185328,002,2,30.0,15.0,10.5,6.75,7.5,0.7729111011888996
am_peak,449,0.20610962698370655,002,2,30.0,15.0,10.5,6.75,7.5,1.5458222023777992
am_peak,450,0.15458222023777993,002,2,30.0,15.0,10.5,6.75,7.5,1.1593666517833494
am_peak,450,0.15458222023777993,001,2,30.0,15.0,10.5,6.75,7.5,1.1593666517833494
am_peak,451,0.15458222023777993,002,2,30.0,15.0,10.5,6.75,7.5,1.1593666517833494
am_peak,452,0.10305481349185328,002,2,30.0,15.0,10.5,6.75,7.5,0.7729111011888996
am_peak,453,0.15458222023777993,002,2,30.0,15.0,10.5,6.75,7.5,1.1593666517833494
am_peak,453,0.15458222023777993,010,4,26.742857142857144,4.8,9.685714285714287,2.4,14.571428571428573,2.2524837806076508
am_peak,454,0.10305481349185328,002,2,30.0,15.0,10.5,6.75,7.5,0.7729111011888996
am_peak,454,0.10305481349185328,005,2,60.0,30.0,18.0,10.5,15.0,1.5458222023777992
am_peak,455,0.10305481349185328,002,2,30.0,15.0,10.5,6.75,7.5,0.7729111011888996
am_peak,456,0.10305481349185328,002,2,30.0,15.0,10.5,6.75,7.5,0.7729111011888996
am_peak,457,0.2576370337296332,002,2,30.0,15.0,10.5,6.75,7.5,1.932277752972249
am_peak,457,0.2576370337296332,034,2,15.0,12.0,6.75,6.0,1.5,0.3864555505944498
am_peak,457,0.2576370337296332,004,2,30.0,15.0,10.5,6.75,7.5,1.932277752972249
am_peak,458,0.30916444047555985,002,2,30.0,15.0,10.5,6.75,7.5,2.318733303566699
