route_id,period,baseline_headway_min,optimized_headway_min,headway_change_min,baseline_trips,optimized_trips,baseline_veh_hours,optimized_veh_hours,veh_hours_change,demand_potential,runtime_min,direction
021,early,120.0,120.0,0.0,2.0,2.0,2.033333333333333,2.033333333333333,0.0,57.520534265139126,61.0,unchanged
012,midday,20.0,20.0,0.0,36.0,36.0,12.633333333333333,12.633333333333333,0.0,97.40405286423659,21.055555555555557,unchanged
009,owl,180.0,180.0,0.0,4.0,4.0,6.833333333333333,6.833333333333333,0.0,52.22747987066751,102.5,unchanged
004,pm_peak,30.0,30.0,0.0,12.0,12.0,15.583333333333334,15.583333333333334,0.0,337.4802262561034,77.91666666666667,unchanged
011,owl,180.0,180.0,0.0,4.0,4.0,5.7,5.7,0.0,58.71897379459816,85.5,unchanged
101,owl,60.0,60.0,0.0,12.0,12.0,9.7,9.7,0.0,43.91693454518093,48.5,unchanged
004,evening,30.0,30.0,0.0,16.0,16.0,19.866666666666667,19.866666666666667,0.0,168.7401131280517,74.5,unchanged
003,pm_peak,30.0,30.0,0.0,12.0,12.0,15.866666666666667,15.866666666666667,0.0,451.0669876681604,79.33333333333333,unchanged
010,owl,90.0,90.0,0.0,8.0,8.0,10.616666666666667,10.616666666666667,0.0,90.49574457919066,79.625,unchanged
005,am_peak,30.0,30.0,0.0,12.0,12.0,18.733333333333334,18.733333333333334,0.0,582.1839997759822,93.66666666666667,unchanged
005,owl,144.0,144.0,0.0,5.0,5.0,7.916666666666667,7.916666666666667,0.0,105.85163632290585,95.0,unchanged
141,pm_peak,120.0,120.0,0.0,3.0,3.0,2.1666666666666665,2.1666666666666665,0.0,22.704001159093764,43.333333333333336,unchanged
102,owl,120.0,120.0,0.0,6.0,6.0,6.816666666666666,6.816666666666666,0.0,103.93036086194827,68.16666666666667,unchanged
007,owl,102.85714285714286,102.857142857,-1.4286172245192574e-10,7.0,7.000000000009722,6.316666666666666,6.31666666667544,8.773426429797837e-12,76.29899548612357,54.142857142857146,unchanged
022,owl,102.85714285714286,102.857142857,-1.4286172245192574e-10,7.0,7.000000000009722,8.35,8.350000000011597,1.1597833804444235e-11,28.391371137505242,71.57142857142857,unchanged
052,am_peak,60.0,45.0,-15.0,3.0,4.0,1.75,2.3333333333333335,0.5833333333333335,37.0618225653741,35.0,more service
012,evening,34.285714285714285,30.0,-4.285714285714285,14.0,16.0,4.483333333333333,5.123809523809524,0.6404761904761909,35.41965558699513,19.214285714285715,more service
052,pm_peak,60.0,40.0,-20.0,3.0,4.5,1.7,2.55,0.8499999999999999,40.43107916222629,34.0,more service
035,early,60.0,45.0,-15.0,4.0,5.333333333333333,3.1,4.133333333333334,1.0333333333333337,44.84556045024051,46.5,more service
006,early,60.0,40.0,-20.0,4.0,6.0,2.466666666666667,3.7,1.2333333333333334,34.783853500869334,37.0,more service
051,am_peak,60.0,40.0,-20.0,6.0,9.0,2.683333333333333,4.025,1.3416666666666672,35.8263583188488,26.833333333333332,more service
141,am_peak,180.0,60.0,-120.0,1.0,3.0,0.7166666666666667,2.15,1.4333333333333331,20.812001062502617,43.0,more service
024,early,60.0,45.0,-15.0,4.0,5.333333333333333,4.316666666666666,5.7555555555555555,1.438888888888889,70.64254246671197,64.75,more service
045,am_peak,120.0,60.0,-60.0,3.0,6.0,1.6333333333333333,3.2666666666666666,1.6333333333333333,21.22332093606988,32.666666666666664,more service
046,am_peak,180.0,30.0,-150.0,1.0,6.0,0.35,2.1,1.75,23.61833122411898,21.0,more service
046,pm_peak,180.0,30.0,-150.0,1.0,6.0,0.35,2.1,1.75,25.76545224449343,21.0,more service
041,pm_peak,180.0,40.0,-140.0,1.0,4.5,0.5166666666666667,2.325,1.8083333333333336,46.54080498976648,31.0,more service
045,pm_peak,120.0,60.0,-60.0,3.0,6.0,1.8333333333333333,3.6666666666666665,1.8333333333333333,23.15271374843987,36.666666666666664,more service
044,am_peak,180.0,40.0,-140.0,1.0,4.5,0.5333333333333333,2.4,1.8666666666666667,15.30980340788934,32.0,more service
044,pm_peak,180.0,30.0,-150.0,1.0,6.0,0.4,2.4,2.0,16.701603717697463,24.0,more service
141,evening,240.0,60.0,-180.0,1.0,4.0,0.7,2.8,2.0999999999999996,11.352000579546882,42.0,more service
